time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-28 00:00:00+00:00,7,5,3,3
2026-03-01 00:00:00+00:00,11,10,0,0
2026-03-02 00:00:00+00:00,4,4,2,2
2026-03-03 00:00:00+00:00,58,25,18,1
2026-03-04 00:00:00+00:00,11,10,0,0
2026-03-05 00:00:00+00:00,12,7,4,1
2026-03-06 00:00:00+00:00,5,4,2,1
2026-03-07 00:00:00+00:00,3,3,1,1
2026-03-08 00:00:00+00:00,14,12,0,0
2026-03-09 00:00:00+00:00,1,1,7,3
2026-03-10 00:00:00+00:00,3,3,2,2
2026-03-11 00:00:00+00:00,1,1,0,0
2026-03-12 00:00:00+00:00,1,1,1,1
2026-03-13 00:00:00+00:00,4,4,1,1
