time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-05 00:00:00+00:00,2,2,,
2025-10-06 00:00:00+00:00,4,4,1.0,1.0
2025-10-07 00:00:00+00:00,3,3,6.0,2.0
2025-10-08 00:00:00+00:00,1,1,4.0,3.0
2025-10-09 00:00:00+00:00,3,3,1.0,1.0
2025-10-10 00:00:00+00:00,1,1,,
2025-10-11 00:00:00+00:00,4,4,1.0,1.0
2025-10-12 00:00:00+00:00,3,3,1.0,1.0
2025-10-13 00:00:00+00:00,6,6,,
2025-10-14 00:00:00+00:00,4,2,,
2025-10-15 00:00:00+00:00,9,5,23.0,3.0
2025-10-16 00:00:00+00:00,56,16,36.0,5.0
2025-10-17 00:00:00+00:00,4,4,12.0,1.0
2025-10-18 00:00:00+00:00,9,5,3.0,2.0
