time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-02 00:00:00+00:00,2.0,2.0,2.0,2.0
2025-03-03 00:00:00+00:00,,,28.0,10.0
2025-03-04 00:00:00+00:00,3.0,3.0,125.0,19.0
2025-03-05 00:00:00+00:00,1.0,1.0,35.0,12.0
2025-03-06 00:00:00+00:00,1.0,1.0,5.0,3.0
2025-03-07 00:00:00+00:00,3.0,3.0,5.0,2.0
2025-03-08 00:00:00+00:00,2.0,2.0,16.0,2.0
2025-03-09 00:00:00+00:00,3.0,3.0,,
2025-03-10 00:00:00+00:00,3.0,3.0,1.0,1.0
2025-03-11 00:00:00+00:00,1.0,1.0,3.0,2.0
2025-03-12 00:00:00+00:00,,,50.0,8.0
2025-03-13 00:00:00+00:00,,,53.0,7.0
2025-03-14 00:00:00+00:00,,,10.0,6.0
2025-03-15 00:00:00+00:00,2.0,2.0,,
