url_path,views_total,views_unique
/morganstanley/Crossroads/pulls,12,3
/morganstanley/Crossroads,11,6
/morganstanley/Crossroads/pull/322,5,1
/morganstanley/Crossroads/pull/322/files,3,1
/morganstanley/Crossroads/pulse,2,2
/morganstanley/Crossroads/compare/main...kruplm:Crossroads:main,2,1
/morganstanley/Crossroads/pull/298,2,1
/morganstanley/crossroads,1,1
/morganstanley/Crossroads/actions/runs/12103689993/job/33746167057,1,1
/morganstanley/Crossroads/actions/runs/12104065403/job/33747030968,1,1
