time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-27 00:00:00+00:00,,,8,1
2025-07-28 00:00:00+00:00,,,24,6
2025-07-29 00:00:00+00:00,,,1,1
2025-07-30 00:00:00+00:00,1.0,1.0,25,6
2025-07-31 00:00:00+00:00,,,15,6
2025-08-01 00:00:00+00:00,2.0,2.0,9,4
2025-08-03 00:00:00+00:00,,,5,2
2025-08-04 00:00:00+00:00,,,14,2
2025-08-05 00:00:00+00:00,,,8,3
2025-08-06 00:00:00+00:00,2.0,2.0,10,1
2025-08-07 00:00:00+00:00,1.0,1.0,24,4
2025-08-08 00:00:00+00:00,4.0,4.0,12,4
2025-08-09 00:00:00+00:00,3.0,3.0,9,1
