time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-07 00:00:00+00:00,2,2,5,4
2025-12-08 00:00:00+00:00,3,3,1,1
2025-12-09 00:00:00+00:00,1,1,2,2
2025-12-10 00:00:00+00:00,2,2,6,4
2025-12-11 00:00:00+00:00,4,4,2,2
2025-12-12 00:00:00+00:00,2,2,2,2
2025-12-13 00:00:00+00:00,2,2,1,1
2025-12-14 00:00:00+00:00,2,2,4,4
2025-12-15 00:00:00+00:00,1,1,25,4
2025-12-16 00:00:00+00:00,1,1,2,2
2025-12-17 00:00:00+00:00,4,4,2,2
2025-12-18 00:00:00+00:00,1,1,4,4
2025-12-19 00:00:00+00:00,3,3,5,3
2025-12-20 00:00:00+00:00,2,2,3,3
